control_id,control_name,framework,category,criticality,type,frequency,owner,description
CTRL_001,Expense Approval - Operational,SOX,operational,high,preventive,monthly,Finance - Finance Manager,SOX control for operational compliance - preventive control executed monthly
CTRL_002,Expense Approval - Operational,SOX,operational,high,corrective,daily,Marketing - Manager,SOX control for operational compliance - corrective control executed daily
CTRL_003,Expense Approval - Operational,SOX,operational,high,detective,continuous,Marketing - Manager,SOX control for operational compliance - detective control executed continuous
CTRL_004,Expense Approval - Operational,SOX,operational,low,corrective,weekly,Finance - CFO,SOX control for operational compliance - corrective control executed weekly
CTRL_005,Expense Approval - Operational,SOX,operational,critical,detective,continuous,Sales - Manager,SOX control for operational compliance - detective control executed continuous
CTRL_006,Expense Approval - Operational,SOX,operational,high,detective,weekly,HR - Manager,SOX control for operational compliance - detective control executed weekly
CTRL_007,Segregation of Duties - Operational,SOX,operational,critical,detective,quarterly,Operations - Quality Manager,SOX control for operational compliance - detective control executed quarterly
CTRL_008,Journal Entry Review - Financial,SOX,financial,medium,detective,monthly,Operations - COO,SOX control for financial compliance - detective control executed monthly
CTRL_009,Revenue Recognition - Financial,SOX,financial,critical,preventive,monthly,Customer Support - Manager,SOX control for financial compliance - preventive control executed monthly
CTRL_010,Segregation of Duties - Financial,SOX,financial,critical,detective,monthly,Legal - Compliance Officer,SOX control for financial compliance - detective control executed monthly
CTRL_011,Segregation of Duties - Operational,SOX,operational,medium,corrective,monthly,Marketing - Manager,SOX control for operational compliance - corrective control executed monthly
CTRL_012,Segregation of Duties - Operational,SOX,operational,medium,detective,daily,IT - Infrastructure Manager,SOX control for operational compliance - detective control executed daily
CTRL_013,Expense Approval - Operational,SOX,operational,high,detective,weekly,Finance - Controller,SOX control for operational compliance - detective control executed weekly
CTRL_014,Financial Reporting Controls - Operational,SOX,operational,critical,corrective,monthly,Legal - Compliance Officer,SOX control for operational compliance - corrective control executed monthly
CTRL_015,Journal Entry Review - Operational,SOX,operational,medium,corrective,daily,Customer Support - Manager,SOX control for operational compliance - corrective control executed daily
CTRL_016,Financial Reporting Controls - Financial,SOX,financial,high,corrective,monthly,HR - Manager,SOX control for financial compliance - corrective control executed monthly
CTRL_017,Revenue Recognition - Operational,SOX,operational,medium,detective,monthly,Finance - Controller,SOX control for operational compliance - detective control executed monthly
CTRL_018,Journal Entry Review - Operational,SOX,operational,critical,preventive,monthly,HR - Manager,SOX control for operational compliance - preventive control executed monthly
CTRL_019,Expense Approval - Operational,SOX,operational,critical,corrective,continuous,Customer Support - Manager,SOX control for operational compliance - corrective control executed continuous
CTRL_020,Expense Approval - Financial,SOX,financial,medium,detective,monthly,HR - Manager,SOX control for financial compliance - detective control executed monthly
CTRL_021,Journal Entry Review - Operational,SOX,operational,medium,preventive,monthly,Sales - Manager,SOX control for operational compliance - preventive control executed monthly
CTRL_022,Financial Reporting Controls - Operational,SOX,operational,high,detective,daily,Operations - COO,SOX control for operational compliance - detective control executed daily
CTRL_023,Expense Approval - Financial,SOX,financial,high,detective,quarterly,Operations - COO,SOX control for financial compliance - detective control executed quarterly
CTRL_024,Revenue Recognition - Operational,SOX,operational,high,detective,monthly,IT - CTO,SOX control for operational compliance - detective control executed monthly
CTRL_025,Segregation of Duties - Financial,SOX,financial,high,preventive,continuous,HR - Manager,SOX control for financial compliance - preventive control executed continuous
CTRL_026,Journal Entry Review - Operational,SOX,operational,medium,detective,daily,IT - CTO,SOX control for operational compliance - detective control executed daily
CTRL_027,Segregation of Duties - Financial,SOX,financial,high,detective,weekly,HR - Manager,SOX control for financial compliance - detective control executed weekly
CTRL_028,Journal Entry Review - Financial,SOX,financial,medium,detective,continuous,Legal - General Counsel,SOX control for financial compliance - detective control executed continuous
CTRL_029,Expense Approval - Operational,SOX,operational,low,preventive,daily,Operations - Quality Manager,SOX control for operational compliance - preventive control executed daily
CTRL_030,Journal Entry Review - Operational,SOX,operational,high,detective,quarterly,HR - Manager,SOX control for operational compliance - detective control executed quarterly
CTRL_031,Financial Reporting Controls - Financial,SOX,financial,low,preventive,monthly,HR - Manager,SOX control for financial compliance - preventive control executed monthly
CTRL_032,Revenue Recognition - Operational,SOX,operational,high,detective,daily,Customer Support - Manager,SOX control for operational compliance - detective control executed daily
CTRL_033,Financial Reporting Controls - Operational,SOX,operational,critical,preventive,daily,IT - Infrastructure Manager,SOX control for operational compliance - preventive control executed daily
CTRL_034,Journal Entry Review - Financial,SOX,financial,low,detective,monthly,Marketing - Manager,SOX control for financial compliance - detective control executed monthly
CTRL_035,Financial Reporting Controls - Financial,SOX,financial,high,preventive,daily,IT - CTO,SOX control for financial compliance - preventive control executed daily
CTRL_036,Expense Approval - Operational,SOX,operational,medium,detective,monthly,Customer Support - Manager,SOX control for operational compliance - detective control executed monthly
CTRL_037,Journal Entry Review - Operational,SOX,operational,medium,detective,quarterly,Customer Support - Manager,SOX control for operational compliance - detective control executed quarterly
CTRL_038,Financial Reporting Controls - Operational,SOX,operational,critical,detective,weekly,Finance - CFO,SOX control for operational compliance - detective control executed weekly
CTRL_039,Financial Reporting Controls - Financial,SOX,financial,low,detective,monthly,HR - Manager,SOX control for financial compliance - detective control executed monthly
CTRL_040,Segregation of Duties - Financial,SOX,financial,high,detective,quarterly,Marketing - Manager,SOX control for financial compliance - detective control executed quarterly
CTRL_041,Expense Approval - Financial,SOX,financial,high,detective,weekly,Legal - Compliance Officer,SOX control for financial compliance - detective control executed weekly
CTRL_042,Revenue Recognition - Financial,SOX,financial,medium,preventive,quarterly,Customer Support - Manager,SOX control for financial compliance - preventive control executed quarterly
CTRL_043,Segregation of Duties - Financial,SOX,financial,high,preventive,monthly,Customer Support - Manager,SOX control for financial compliance - preventive control executed monthly
CTRL_044,Revenue Recognition - Operational,SOX,operational,critical,preventive,monthly,Finance - CFO,SOX control for operational compliance - preventive control executed monthly
CTRL_045,Journal Entry Review - Operational,SOX,operational,high,corrective,weekly,IT - CTO,SOX control for operational compliance - corrective control executed weekly
CTRL_046,Data Subject Rights - Privacy,GDPR,privacy,medium,detective,weekly,Marketing - Manager,GDPR control for privacy compliance - detective control executed weekly
CTRL_047,Data Breach Notification - Privacy,GDPR,privacy,low,corrective,weekly,Legal - Compliance Officer,GDPR control for privacy compliance - corrective control executed weekly
CTRL_048,Data Retention - Data Security,GDPR,data_security,high,preventive,monthly,Operations - Operations Manager,GDPR control for data_security compliance - preventive control executed monthly
CTRL_049,Privacy Impact Assessment - Privacy,GDPR,privacy,critical,preventive,monthly,IT - IT Security Manager,GDPR control for privacy compliance - preventive control executed monthly
CTRL_050,Data Retention - Privacy,GDPR,privacy,high,detective,daily,HR - Manager,GDPR control for privacy compliance - detective control executed daily
CTRL_051,Data Breach Notification - Data Security,GDPR,data_security,medium,detective,quarterly,Customer Support - Manager,GDPR control for data_security compliance - detective control executed quarterly
CTRL_052,Data Subject Rights - Data Security,GDPR,data_security,medium,detective,weekly,Operations - Quality Manager,GDPR control for data_security compliance - detective control executed weekly
CTRL_053,Privacy Impact Assessment - Privacy,GDPR,privacy,medium,preventive,monthly,Sales - Manager,GDPR control for privacy compliance - preventive control executed monthly
CTRL_054,Data Subject Rights - Privacy,GDPR,privacy,high,detective,monthly,Customer Support - Manager,GDPR control for privacy compliance - detective control executed monthly
CTRL_055,Privacy Impact Assessment - Data Security,GDPR,data_security,high,detective,quarterly,IT - Infrastructure Manager,GDPR control for data_security compliance - detective control executed quarterly
CTRL_056,Data Breach Notification - Privacy,GDPR,privacy,critical,preventive,quarterly,IT - IT Security Manager,GDPR control for privacy compliance - preventive control executed quarterly
CTRL_057,Privacy Impact Assessment - Data Security,GDPR,data_security,high,detective,monthly,Marketing - Manager,GDPR control for data_security compliance - detective control executed monthly
CTRL_058,Consent Management - Data Security,GDPR,data_security,low,preventive,continuous,Operations - Quality Manager,GDPR control for data_security compliance - preventive control executed continuous
CTRL_059,Data Breach Notification - Privacy,GDPR,privacy,high,preventive,monthly,Customer Support - Manager,GDPR control for privacy compliance - preventive control executed monthly
CTRL_060,Privacy Impact Assessment - Data Security,GDPR,data_security,low,preventive,monthly,Sales - Manager,GDPR control for data_security compliance - preventive control executed monthly
CTRL_061,Consent Management - Privacy,GDPR,privacy,critical,detective,monthly,Legal - General Counsel,GDPR control for privacy compliance - detective control executed monthly
CTRL_062,Privacy Impact Assessment - Data Security,GDPR,data_security,medium,preventive,monthly,Legal - General Counsel,GDPR control for data_security compliance - preventive control executed monthly
CTRL_063,Consent Management - Data Security,GDPR,data_security,medium,detective,monthly,HR - Manager,GDPR control for data_security compliance - detective control executed monthly
